Total Alkaloids,Reducing Sugars,Total Sugars,Total Nitrogen,K,cl,pH,Starch,Neochlorogenic Acid,Chlorogenic Acid,Cryptochlorogenic Acid,Scopoletin,Rutin
3.498656007,13.02682348,14.16264165,2.635404542,2.291539013,6.022611543,4.79,3.507080755,1.576424203,10.03469221,2.544574202,0.519398099,9.783503325
3.637252917,13.54656186,15.46966301,2.689287305,2.307387367,6.57101732,4.98,2.898914408,1.988779698,11.48692018,3.140562614,0.378974046,10.66153061
3.728583286,14.9622795,15.99092671,2.650752206,2.167777085,6.459877505,4.865,3.700153291,1.633356111,11.01882208,2.459550955,0.398432823,9.27781648
3.540989213,16.18101748,17.57229086,2.663054559,2.153657861,5.35416672,4.88,4.056563229,1.578300045,10.4230327,2.444445893,0.382428266,8.77296568
3.59074043,14.19837503,14.96855082,2.754358249,2.122057502,6.929215066,4.895,3.364227035,1.53788705,11.72030976,2.474298062,0.518966302,9.554021992
3.631257458,14.73907921,20.18890217,2.60830483,1.897590969,4.598165916,5.155,4.046973208,2.049810173,11.37720956,2.930798634,0.201033774,10.82523517
3.948818367,12.52594186,14.36134232,2.779154294,2.333037768,6.051836367,4.88,2.932012203,1.798082811,10.08976393,2.752162741,0.45572744,9.814026666
3.923981896,13.99088411,16.53947634,2.806048002,2.29730239,4.338902698,5.03,3.315399053,1.995236109,10.37728346,2.854752546,0.281117689,11.02125956
3.235094295,15.6625807,17.8004782,2.466877345,2.238893823,3.339556734,4.775,3.62012913,1.718905899,10.22952441,2.734204191,0.373564631,8.483555812
3.219929504,14.01104311,16.49203127,2.503742843,2.452309149,5.134465446,4.915,3.606989996,1.743085599,10.64604353,2.667103222,0.421724758,9.120817831
3.277598604,12.77972614,14.4278555,2.642535109,2.278926172,5.993093058,4.8,3.431929569,1.532705168,8.987266688,2.429594578,0.505751919,6.943384279
3.201698407,14.81778146,16.86674438,2.558921628,2.200937282,6.193062697,4.92,3.111921505,1.677885828,10.55769526,2.681620874,0.458081928,8.608228969
4.44790151,11.86445964,13.57512393,2.883756214,2.150607846,5.312830084,4.86,3.07898271,1.644227455,9.628933422,2.424594949,0.475305098,9.997018889
3.322049488,14.52484037,16.30011141,2.481279905,2.312571375,5.106668855,4.92,3.244675389,1.729992694,11.01373795,2.81734112,0.436075617,9.846329367
4.134426761,13.54513925,16.34149265,2.628457623,2.240845991,4.005318252,4.87,3.79930229,1.614409447,10.3522158,2.404861596,0.270211471,10.11588905
2.981873844,16.40951606,21.1504011,2.377775831,2.335674855,6.584750003,5.18,3.980220367,2.100410124,11.37455859,2.994411072,0.218396861,11.29537763
