predictor,component,p,component_sign
940,1,-0.0074667189112914102,-1
941,1,-0.007441491585063755,-1
942,1,-0.0072505188631098996,-1
943,1,-0.0068535466653986202,-1
944,1,-0.0066162648969351791,-1
945,1,-0.0067268713725120669,-1
946,1,-0.0066036855596334825,-1
947,1,-0.0058995369277514585,-1
948,1,-0.0049408140394971573,-1
949,1,-0.0046724927625418902,-1
950,1,-0.0047654187501273105,-1
951,1,-0.0045346004683955539,-1
952,1,-0.0040391156982877074,-1
953,1,-0.0035534929347804363,-1
954,1,-0.0036335671778242144,-1
955,1,-0.0030392475221121748,-1
956,1,-0.0028229388927951279,-1
957,1,-0.0019499456614416532,-1
958,1,-0.001947189205784543,-1
959,1,-0.002091274268264387,-1
960,1,-0.0021915128854516751,-1
961,1,-0.0022912339279453197,-1
962,1,-0.0022716226359605707,-1
963,1,-0.0017485444735674891,-1
964,1,-0.0024460528793520783,-1
965,1,-0.0020240745889837561,-1
966,1,-0.0011555595132249571,-1
967,1,-0.0019182065709050856,-1
968,1,-0.0013998572425285439,-1
969,1,-0.0015322007040499764,-1
970,1,-0.0013048136407963606,-1
971,1,-0.00065147539471335628,-1
972,1,0.00024630999015027791,-1
973,1,0.00066506087113552437,-1
974,1,0.0010879055524662903,-1
975,1,0.0017450053674038638,-1
976,1,0.0030798126849996251,-1
977,1,0.0033614278438302302,-1
978,1,0.0046949584396641045,-1
979,1,0.0055036173383557156,-1
980,1,0.0064456679215260269,-1
981,1,0.0070796648283458323,-1
982,1,0.0060906617798057961,-1
983,1,0.0065759977695848603,-1
984,1,0.0064789817282450198,-1
985,1,0.0061739027350757279,-1
986,1,0.0052045932831645218,-1
987,1,0.0039630300683323877,-1
988,1,0.0039758151013732281,-1
989,1,0.002807774611410842,-1
990,1,0.00070502255923290545,-1
991,1,0.0009970924245484927,-1
992,1,-2.6414176466258755e-05,-1
993,1,-0.00056163174153816414,-1
994,1,-0.00065452140709271439,-1
995,1,-0.0019543119262401699,-1
996,1,-0.0019806266502568884,-1
997,1,-0.0010029625291308735,-1
998,1,-0.00099471296025924541,-1
999,1,-0.00077589486125578875,-1
1000,1,-0.0010816703383132588,-1
1001,1,-0.015517136306710276,-1
1002,1,-0.015607411974265907,-1
1003,1,-0.015498296099924778,-1
1004,1,-0.015475120302843152,-1
1005,1,-0.014910202731672609,-1
1006,1,-0.014843299154730287,-1
