predictor,component,loading
1262,1,-0.50209370494669403
1263,1,-0.50291021545040016
1264,1,-0.50429103680416043
1265,1,-0.50445249180734475
1266,1,-0.50594855479581535
1267,1,-0.50630142121085819
1268,1,-0.50751415826105784
1269,1,-0.50798115096210095
1270,1,-0.50931511752066561
1271,1,-0.51024251091412798
1272,1,-0.51206688387463273
1273,1,-0.51268652592281039
1274,1,-0.51414583988723073
1275,1,-0.51522549537439288
1276,1,-0.51649016128270864
1277,1,-0.51823835367904825
1278,1,-0.51953068812663805
1279,1,-0.52158015514645062
1280,1,-0.52256615497371139
1281,1,-0.52449249152501931
1282,1,-0.52661899325722061
1283,1,-0.52745708233067257
1284,1,-0.5295071975826432
1285,1,-0.53142828274102472
1286,1,-0.53263678615838994
1287,1,-0.53459286170244158
1288,1,-0.53564587253748108
1289,1,-0.53730226713009377
1290,1,-0.53890952476469034
1291,1,-0.53997488764092316
1292,1,-0.54216757114073477
1293,1,-0.54315667230889797
1294,1,-0.5437044409033529
1295,1,-0.54504199261932584
1296,1,-0.54555904767606589
1297,1,-0.54683420398704607
1298,1,-0.54760603930416718
1299,1,-0.54773546715565014
1300,1,-0.54788190253944458
1301,1,-0.54931891386909448
1302,1,-0.54922028177207272
1303,1,-0.54931980677006631
1304,1,-0.54966901197850171
1305,1,-0.54963650111728091
1306,1,-0.54950095435547119
1307,1,-0.5493652573046327
1308,1,-0.54901267898063466
1309,1,-0.54883606318653566
1310,1,-0.54886205622204232
1311,1,-0.54764576549577915
1312,1,-0.54708773364237873
1313,1,-0.54701366721881162
1314,1,-0.54583979105067937
1315,1,-0.54491990276352864
1316,1,-0.54375521194264542
1317,1,-0.54260752628461117
1318,1,-0.54166420076326161
1319,1,-0.53997310955852973
1320,1,-0.5380154749942202
1321,1,-0.53593108418605495
1322,1,-0.53423186097246045
1323,1,-0.53232521158765977
1324,1,-0.53036656533206261
1325,1,-0.52745350061214069
1326,1,-0.52503196705697841
1327,1,-0.52196856594755037
1328,1,-0.51928044523155981
1329,1,-0.51621631253820222
1330,1,-0.5126776323681117
1331,1,-0.50985430701740486
1332,1,-0.50581804420576293
1333,1,-0.50189150818461803
1334,1,-0.4979159775759126
1335,1,-0.49377859673695496
1336,1,-0.48979340057033433
1337,1,-0.48434846538317172
1338,1,-0.48018818499967175
1339,1,-0.47425934111353063
1340,1,-0.46935741144570858
1341,1,-0.46337121773981238
1342,1,-0.45855346582149431
1343,1,-0.45243098511500462
1344,1,-0.44705190846209863
1345,1,-0.44112299340743655
1346,1,-0.43548133278614937
1347,1,-0.43015956935499228
1348,1,-0.42445088798850422
1349,1,-0.41958213482056167
1350,1,-0.41463576840964445
1351,1,-0.40915987068013349
1352,1,-0.40481161258620846
1353,1,-0.40024151729381219
1354,1,-0.39531613336838423
1355,1,-0.39087015032822137
1356,1,-0.386734048946348
1357,1,-0.38245677440618908
1358,1,-0.37854417824494485
1359,1,-0.37443537782633368
1360,1,-0.36969850927244491
1361,1,-0.36619281694745109
1362,1,-0.36268589180639832
1363,1,-0.35903820705251244
1364,1,-0.35597431566413912
1365,1,-0.35303794068493555
1366,1,-0.35072800428258388
1367,1,-0.34812030481265843
1368,1,-0.34684413358758098
1369,1,-0.34605069358570112
1370,1,-0.34549568400503572
1371,1,-0.34481213918349235
1372,1,-0.34515884403626135
1373,1,-0.34533805379229787
1374,1,-0.3457966112542824
1375,1,-0.34717919114827667
1376,1,-0.34784503877304385
1377,1,-0.34969041964511277
1378,1,-0.35104509613043372
1379,1,-0.35212807263837281
1380,1,-0.35346982578728542
1381,1,-0.3550250078447254
1382,1,-0.35599834551271048
1383,1,-0.35697064420966734
1384,1,-0.35787057304044029
1385,1,-0.35834320315482954
1386,1,-0.35923804020791383
1387,1,-0.35948289361094615
1388,1,-0.35944819733198441
1389,1,-0.35936510553730111
1390,1,-0.35900101853235572
1391,1,-0.35842847597155975
1392,1,-0.3575848482837003
1393,1,-0.35649769790932689
1394,1,-0.35527068271376944
1395,1,-0.35376902023773221
1396,1,-0.35209473033746902
1397,1,-0.35029600673921091
1398,1,-0.34832614848715232
1399,1,-0.34612752456269136
1400,1,-0.34442917304501647
1401,1,-0.34218737648895509
1402,1,-0.34012320107936755
1403,1,-0.33751949273252457
1404,1,-0.3352018289474098
1405,1,-0.33306512937589705
1406,1,-0.33066007265816355
1407,1,-0.3282324587854899
1408,1,-0.32586472629408042
1409,1,-0.32344293123817586
1410,1,-0.3210921317794922
1411,1,-0.31832050678980056
1412,1,-0.31608191739695535
1413,1,-0.31336464061275127
1414,1,-0.31108241932434344
1415,1,-0.30844791275968503
1416,1,-0.30599850715813609
1417,1,-0.30368472128490315
1418,1,-0.30121948609380572
1419,1,-0.29883158154291861
1420,1,-0.29654346051200281
1421,1,-0.2942865009202929
1422,1,-0.29217180181003249
1423,1,-0.29013014481917337
1424,1,-0.28824826956978183
1425,1,-0.28685880000138753
1426,1,-0.28534299010097225
1427,1,-0.28395806291944242
1428,1,-0.28251512040137733
1429,1,-0.28137012997535998
1430,1,-0.2803831198502178
1431,1,-0.27931873321281325
1432,1,-0.27842209349805314
1433,1,-0.27759405694929606
1434,1,-0.27682475841504672
1435,1,-0.27573637957355862
1436,1,-0.27492815072985061
1437,1,-0.27414019275062346
1438,1,-0.27319379710772468
1439,1,-0.27216276588540816
1440,1,-0.27122518589961464
1441,1,-0.2700743917773209
1442,1,-0.26928571511339083
1443,1,-0.26830575458148032
1444,1,-0.26732005326615033
1445,1,-0.26632767940175489
1446,1,-0.2652959941334887
1447,1,-0.26427650734975233
1448,1,-0.26342708183132085
1449,1,-0.26261052096702897
1450,1,-0.26188452483318253
1451,1,-0.26126389784167409
1452,1,-0.26031297188946939
1453,1,-0.25992170368575701
1454,1,-0.25950148890572255
1455,1,-0.25894808195155361
1456,1,-0.25834310671310984
1457,1,-0.25762787157805639
1458,1,-0.25719163557426289
1459,1,-0.25669209504371038
1460,1,-0.25599064606892319
1461,1,-0.25559191810616949
1462,1,-0.2551208383986952
1463,1,-0.25440766413974097
1464,1,-0.25398205238036531
1465,1,-0.25350269687432664
1466,1,-0.25294859002985898
1467,1,-0.25243347774761843
1468,1,-0.25183677456106307
1469,1,-0.2509741386200588
1470,1,-0.25019748430989019
1471,1,-0.24956260900367302
1472,1,-0.24905727521443183
1473,1,-0.24834422140698717
1474,1,-0.24764095135908237
1475,1,-0.24687317910824139
1476,1,-0.24635545550957394
1477,1,-0.24574765736277288
1478,1,-0.24518050006992495
1479,1,-0.24465149140097786
1480,1,-0.24395760728405549
1481,1,-0.24344653797363358
1482,1,-0.24277824999615713
1483,1,-0.24222356651440746
1484,1,-0.24180038574203172
1485,1,-0.24133026101792326
1486,1,-0.24086390550783593
1487,1,-0.24063375785259514
1488,1,-0.24017367530831152
1489,1,-0.23983902314904529
1490,1,-0.2394237410191111
1491,1,-0.23921563498001042
1492,1,-0.23873511718072993
1493,1,-0.23832326836370399
1494,1,-0.23791775467237594
1495,1,-0.23760145748526318
1496,1,-0.23737905716085975
1497,1,-0.23705756773144518
1498,1,-0.23670663756831026
1499,1,-0.23642608101862139
1500,1,-0.23633117570902443
1501,1,-0.23605950193961125
1502,1,-0.23569628412548713
1503,1,-0.23562830117145064
1504,1,-0.23519769430898421
1505,1,-0.23500991269966193
1506,1,-0.23506834652808711
1507,1,-0.23484580784783285
1508,1,-0.23465719110707522
1509,1,-0.23478090075742297
1510,1,-0.23451494848880031
1511,1,-0.23445957500120715
1512,1,-0.23442463564388294
1513,1,-0.23458178390696174
1514,1,-0.23459109254662525
1515,1,-0.23479495890539118
1516,1,-0.23457991490164495
1517,1,-0.23467686443581537
1518,1,-0.23478594349744622
1519,1,-0.23472262269360145
1520,1,-0.23464021153400982
1521,1,-0.23492196874040269
1522,1,-0.23476833554943696
1523,1,-0.23472463046084252
1524,1,-0.23463639301526087
1525,1,-0.23454871943854549
1526,1,-0.23445163313948403
1527,1,-0.23431043605753801
1528,1,-0.23431306946191854
1529,1,-0.23384766300483126
1530,1,-0.23378021516795566
1531,1,-0.23359602649578154
1532,1,-0.23342500000669014
1533,1,-0.23304582742422411
1534,1,-0.23287410270102599
1535,1,-0.23265683253215638
1536,1,-0.23223219623094721
1537,1,-0.23211614439905498
1538,1,-0.23178996759042317
1539,1,-0.23162588737652004
1540,1,-0.23106287196061509
1541,1,-0.23070091033565132
1542,1,-0.23055414280176351
1543,1,-0.23023563614493747
1544,1,-0.23009361661301556
1545,1,-0.22991719666706964
1546,1,-0.22947383096217391
1547,1,-0.22950345484998436
1548,1,-0.22902339880724321
1549,1,-0.22862788610712947
1550,1,-0.22849033142346048
1551,1,-0.22851036211494943
1552,1,-0.22828703393175079
1553,1,-0.22806695502757976
1554,1,-0.22788664039643011
1555,1,-0.22776512735289922
1556,1,-0.22787747545567838
1557,1,-0.22770080234165252
1558,1,-0.22755614093489185
1559,1,-0.22755735606327548
1560,1,-0.22750000089550035
1561,1,-0.22749218760402276
1562,1,-0.22744863538020554
1563,1,-0.22728183648369688
1564,1,-0.22732349202112231
1565,1,-0.22745641975824399
1566,1,-0.22721056442899995
1567,1,-0.22720517918520919
1568,1,-0.22722962172665687
1569,1,-0.22683167632238635
1570,1,-0.22701286856425676
1571,1,-0.22678193831422386
1572,1,-0.22677580786036575
1573,1,-0.22676018571945675
1574,1,-0.2267119774428468
1575,1,-0.22652412512850034
1576,1,-0.22635851714081168
1577,1,-0.22633577538133903
1578,1,-0.22607532208112871
1579,1,-0.22620338786911784
1580,1,-0.22610639682955896
1581,1,-0.22601071492382874
1582,1,-0.22593382169007947
1583,1,-0.22576014205077113
1584,1,-0.2258078580342458
1585,1,-0.22589749512667373
1586,1,-0.22613028639917548
1587,1,-0.22615255927595954
1588,1,-0.22651471231308126
1589,1,-0.22657778160074044
1590,1,-0.2269912108072496
1591,1,-0.22736168594117093
1592,1,-0.22775759547799632
1593,1,-0.22842864529119644
1594,1,-0.22888951342564101
1595,1,-0.22941931847564645
1596,1,-0.22992365067317877
1597,1,-0.23081682853427193
1598,1,-0.23159972401172776
1599,1,-0.23209160256653705
1600,1,-0.23295026053725312
1601,1,-0.23374476598058905
