predictor,component,p,component_sign
9461.05763915388,1,-0.028169310154339416,-1
9457.20070571703,1,0.0057445644198680056,-1
9453.34377228019,1,0.0070140781110382003,-1
9449.48683884334,1,0.0070480357931283306,-1
9445.62990540649,1,0.012583075177578184,-1
9441.77297196964,1,0.014047569334861053,-1
9437.9160385328,1,-0.01996931604624427,-1
9434.05910509595,1,-0.028912999013743283,-1
9430.2021716591,1,-0.016451870210388162,-1
9426.34523822226,1,-0.033632948370075542,-1
9422.48830478541,1,-0.047833367203836616,-1
9418.63137134856,1,-0.049040163404991247,-1
9414.77443791171,1,-0.036082408015878344,-1
9410.91750447487,1,-0.023177751981764305,-1
9407.06057103802,1,-0.015843328882198155,-1
9403.20363760117,1,-0.019451081793427413,-1
9399.34670416432,1,-0.018918903039493326,-1
9395.48977072748,1,-0.022577014070752816,-1
9391.63283729063,1,-0.02185954223421973,-1
9387.77590385378,1,-0.019225511433027826,-1
9383.91897041694,1,-0.028749712143636957,-1
9380.06203698009,1,-0.037040333212579379,-1
9376.20510354324,1,-0.032346726428090958,-1
9372.34817010639,1,-0.011005776734355065,-1
9368.49123666955,1,0.0048527566861347234,-1
9364.6343032327,1,0.013941899247969559,-1
9360.77736979585,1,0.02231396111821515,-1
9356.920436359,1,0.015153933654082683,-1
9353.06350292216,1,-0.0023447383114020811,-1
9349.20656948531,1,-0.0035916679520811355,-1
9345.34963604846,1,-0.00043440499339009062,-1
9341.49270261162,1,0.011618235193814037,-1
9337.63576917477,1,0.017527316391191882,-1
9333.77883573792,1,-0.0025387494866655797,-1
9329.92190230107,1,-0.023298168309977121,-1
9326.06496886423,1,0.014381544934330491,-1
9322.20803542738,1,0.039621378604401132,-1
9318.35110199053,1,0.010446939885167683,-1
9314.49416855368,1,0.0045458312484247696,-1
9310.63723511684,1,0.0038430623582481134,-1
9306.78030167999,1,-0.012097117854696237,-1
9302.92336824314,1,-0.01901522886958203,-1
9299.0664348063,1,-0.002263965811228022,-1
9295.20950136945,1,0.024250064815648308,-1
9291.3525679326,1,0.046034616935950935,-1
9287.49563449575,1,0.027376854122594843,-1
9283.63870105891,1,-0.00017813673698984913,-1
9279.78176762206,1,-0.0040750415237168934,-1
9275.92483418521,1,-0.0087978956473615602,-1
9272.06790074836,1,0.0024847647405395251,-1
9268.21096731152,1,0.010241544579212315,-1
9264.35403387467,1,-0.0010138462523123254,-1
9260.49710043782,1,0.0077252095506794381,-1
9256.64016700098,1,0.0053332593533601544,-1
9252.78323356413,1,0.0069398395602884395,-1
9248.92630012728,1,0.011114753700873779,-1
9245.06936669043,1,0.0089952382195281188,-1
9241.21243325358,1,0.0045377945123862666,-1
9237.35549981674,1,0.01348981415756067,-1
9233.49856637989,1,0.025303189187778387,-1
9229.64163294304,1,0.0047556937193955961,-1
9225.7846995062,1,0.010694185300979009,-1
9221.92776606935,1,0.02950293600152544,-1
9218.0708326325,1,0.028512323342123919,-1
9214.21389919565,1,0.0044579014474757954,-1
9210.35696575881,1,0.013054524258686783,-1
9206.50003232196,1,0.028593787643995401,-1
9202.64309888511,1,0.036959532494242518,-1
9198.78616544826,1,0.017462059872770268,-1
9194.92923201142,1,-0.0025505914393332469,-1
