response,predictor,coefficient
Total Alkaloids,8296.263741226,8.1369569592570237
Total Alkaloids,8292.40680778915,13.437258339382515
Total Alkaloids,8288.54987435231,10.455393480688228
Total Alkaloids,8284.69294091546,5.6446029163968197
Total Alkaloids,8280.83600747861,4.6389587427439087
Total Alkaloids,8276.97907404176,-5.3659859259498388
Total Alkaloids,8273.12214060492,-13.802137835767173
Total Alkaloids,8269.26520716807,-16.756446252416751
Total Alkaloids,8265.40827373122,-17.211380511538319
Total Alkaloids,8261.55134029437,-5.2146759138938892
Total Alkaloids,8257.69440685753,8.0292305676229034
Total Alkaloids,8253.83747342068,3.3299067291083735
Total Alkaloids,8249.98053998383,-0.19686915959515242
Total Alkaloids,8246.12360654699,9.7549486737125743
Total Alkaloids,8242.26667311014,13.751601862155999
Total Alkaloids,8238.40973967329,11.564469792250563
Total Alkaloids,8234.55280623644,19.194759044864789
Total Alkaloids,8230.6958727996,19.611930309652102
Total Alkaloids,8226.83893936275,1.8895074790935074
Total Alkaloids,8222.9820059259,2.2521689840629526
Total Alkaloids,8219.12507248905,4.8606984023266193
Total Alkaloids,8215.26813905221,8.1214547132401336
Total Alkaloids,8211.41120561536,16.293326664230484
Total Alkaloids,8207.55427217851,9.4276640075432017
Total Alkaloids,8203.69733874167,1.2645466132094327
Total Alkaloids,8199.84040530482,7.7854730420941944
Total Alkaloids,8195.98347186797,16.559253621545277
Total Alkaloids,8192.12653843112,10.781488811438903
Total Alkaloids,8188.26960499428,-14.522040826615211
Total Alkaloids,8184.41267155743,-13.75352354995592
Total Alkaloids,8180.55573812058,-0.38588243899941793
Total Alkaloids,8176.69880468373,3.2865650898018384
Total Alkaloids,8172.84187124689,2.7443217591776352
Total Alkaloids,8168.98493781004,-1.4358325981563456
Total Alkaloids,8165.12800437319,-4.1862329062732559
Total Alkaloids,8161.27107093635,1.6638870624275155
Total Alkaloids,8157.4141374995,2.7134337432533164
Total Alkaloids,8153.55720406265,8.2567786195352095
Total Alkaloids,8149.7002706258,20.010712175583492
Total Alkaloids,8145.84333718896,11.425381807264559
Total Alkaloids,8141.98640375211,1.4711151640185636
Total Alkaloids,8138.12947031526,0.34453866682967416
Total Alkaloids,8134.27253687841,9.0594968463093331
Total Alkaloids,8130.41560344157,15.099864489793339
Total Alkaloids,8126.55867000472,13.676521908546693
Total Alkaloids,8122.70173656787,8.7295542699275117
Total Alkaloids,8118.84480313103,4.497044608304182
Total Alkaloids,8114.98786969418,8.8252913710760357
Total Alkaloids,8111.13093625733,10.663735460746082
Total Alkaloids,8107.27400282048,5.7178517819585677
Total Alkaloids,8103.41706938364,2.1606722091027155
Total Alkaloids,8099.56013594679,5.0212171978536251
