predictor,component,loading
8948.08549205319,1,-4.8640040465902965
8944.22855861634,1,-4.8697522042561925
8940.3716251795,1,-4.8729317190395749
8936.51469174265,1,-4.8769942683593266
8932.6577583058,1,-4.8860886988495134
8928.80082486896,1,-4.8910196669884138
8924.94389143211,1,-4.8947517499648843
8921.08695799526,1,-4.8960709629223818
8917.23002455841,1,-4.8994951088845253
8913.37309112157,1,-4.9061750187555271
8909.51615768472,1,-4.9108084564600549
8905.65922424787,1,-4.9165442693700854
8901.80229081102,1,-4.9198546243931789
8897.94535737418,1,-4.9201261638129283
8894.08842393733,1,-4.9209856919525814
8890.23149050048,1,-4.9302521875196268
8886.37455706364,1,-4.9372015715605455
8882.51762362679,1,-4.9410301282063331
8878.66069018994,1,-4.9437318504943546
8874.80375675309,1,-4.9464685192371594
8870.94682331625,1,-4.9491748600789158
8867.0898898794,1,-4.9470114749264278
8863.23295644255,1,-4.9498540620398206
8859.3760230057,1,-4.9557558951274023
8855.51908956886,1,-4.9605340445884334
8851.66215613201,1,-4.9598862277089459
8847.80522269516,1,-4.9572302983170484
8843.94828925832,1,-4.9567002437094496
8840.09135582147,1,-4.9595708513244334
8836.23442238462,1,-4.9615490041619958
8832.37748894777,1,-4.9599847213200734
8828.52055551093,1,-4.9598068388913354
8824.66362207408,1,-4.9635433778709199
8820.80668863723,1,-4.9617001795438878
8816.94975520038,1,-4.9614576383947462
8813.09282176354,1,-4.9580260246438188
8809.23588832669,1,-4.9542573451285277
8805.37895488984,1,-4.9533249920326918
8801.522021453,1,-4.9547805541446355
8797.66508801615,1,-4.9550993709727171
8793.8081545793,1,-4.9525298914769245
8789.95122114245,1,-4.9511644054605801
8786.09428770561,1,-4.9486159543707053
8782.23735426876,1,-4.9444352726171825
8778.38042083191,1,-4.9330771361655854
8774.52348739506,1,-4.9264540500376421
8770.66655395822,1,-4.9236396514666296
8766.80962052137,1,-4.9141794968865025
8762.95268708452,1,-4.9029235504188211
8759.09575364767,1,-4.8984159621693015
8755.23882021083,1,-4.9000413802912473
8751.38188677398,1,-4.9021997571654463
8747.52495333713,1,-4.8954215431328434
8743.66801990029,1,-4.885027955633654
8739.81108646344,1,-4.8862798750977836
8735.95415302659,1,-4.8849328058355104
8732.09721958974,1,-4.8720238306206882
8728.2402861529,1,-4.8617150841386456
8724.38335271605,1,-4.8578435725088873
8720.5264192792,1,-4.8513934458273669
8716.66948584235,1,-4.8449151859465953
8712.81255240551,1,-4.8392623540563449
8708.95561896866,1,-4.8332143172629687
8705.09868553181,1,-4.8235721012465174
8701.24175209497,1,-4.8129476572830923
8697.38481865812,1,-4.8053052125810707
8693.52788522127,1,-4.7997619599892518
8689.67095178442,1,-4.7936505941210727
8685.81401834758,1,-4.7888684373376877
8681.95708491073,1,-4.7765131926245958
8678.10015147388,1,-4.7640688421554636
8674.24321803703,1,-4.7555208188498899
8670.38628460019,1,-4.7535365279762782
8666.52935116334,1,-4.7527330167587971
8662.67241772649,1,-4.7336333277654878
8658.81548428965,1,-4.7213285719770566
8654.9585508528,1,-4.7202273760510192
